, ,Area,Mean,Min,Max,Skew,IC,KT,image,Perim.,BX,BY,Width,Height,IntDen,RawIntDen,location,Radius
79,80,0.04,132.636,104,160,-0.055,1,0,3,,,,,,,,IC,0.113
80,81,0.025,145.286,126,168,0.105,0,0,3,,,,,,,,nonIC,0.089
81,82,0.047,153.308,122,218,0.926,0,0,3,,,,,,,,nonIC,0.122
82,83,0.029,158.75,133,193,0.387,0,0,3,,,,,,,,nonIC,0.096
83,84,0.058,79.438,57,113,0.549,0,0,3,,,,,,,,nonIC,0.136
84,85,0.029,104.0,70,141,0.218,0,0,3,,,,,,,,nonIC,0.096
85,86,0.058,186.938,134,255,0.34,1,0,3,,,,,,,,IC,0.136
86,87,0.098,176.407,140,235,0.24,1,0,3,,,,,,,,IC,0.177
87,88,0.072,94.95,76,139,0.953,0,0,3,,,,,,,,nonIC,0.151
88,89,0.286,137.772,80,219,0.248,1,0,3,,,,,,,,IC,0.302
89,90,0.054,106.667,77,139,0.087,0,1,3,,,,,,,,KT,0.131
90,91,0.061,124.059,94,170,0.505,0,1,3,,,,,,,,KT,0.139
91,92,0.04,111.091,83,147,0.321,1,0,3,,,,,,,,IC,0.113
92,93,0.033,210.889,172,237,-0.513,1,0,3,,,,,,,,IC,0.102
93,94,0.061,171.765,131,225,0.226,1,0,3,,,,,,,,IC,0.139
94,95,0.058,123.812,85,182,0.409,0,0,3,,,,,,,,nonIC,0.136
95,96,0.025,170.429,149,214,1.261,0,0,3,,,,,,,,nonIC,0.089
96,97,0.022,103.167,85,125,0.33,0,0,3,,,,,,,,nonIC,0.084
97,98,0.029,83.625,65,116,0.74,0,0,3,,,,,,,,nonIC,0.096
98,99,0.014,92.25,71,118,0.121,0,0,3,,,,,,,,nonIC,0.067
99,100,0.137,181.421,147,237,0.014,1,0,3,,,,,,,,IC,0.209
100,101,0.072,140.35,122,171,0.626,1,0,3,,,,,,,,IC,0.151
101,102,0.036,129.5,105,161,0.05,0,1,3,,,,,,,,KT,0.107
102,103,0.04,75.727,57,112,0.809,0,0,3,,,,,,,,nonIC,0.113
103,104,0.018,138.4,111,157,-0.643,0,0,3,,,,,,,,nonIC,0.076
104,105,0.087,132.625,95,224,0.96,0,0,3,,,,,,,,nonIC,0.166
105,106,0.04,135.727,114,166,0.272,0,0,3,,,,,,,,nonIC,0.113
106,107,0.043,116.167,90,155,0.347,1,0,3,,,,,,,,IC,0.117
107,108,0.051,104.143,67,154,0.564,0,1,3,,,,,,,,KT,0.127
108,109,0.018,129.6,118,144,0.33,0,1,3,,,,,,,,KT,0.076
109,110,0.04,99.909,75,136,0.579,0,0,3,,,,,,,,nonIC,0.113
110,111,0.029,156.75,120,209,0.477,0,0,3,,,,,,,,nonIC,0.096
111,112,0.033,97.0,72,140,0.381,0,0,3,,,,,,,,nonIC,0.102
112,113,0.022,96.333,78,118,-0.043,0,0,3,,,,,,,,nonIC,0.084
113,114,0.029,146.375,116,198,1.254,0,0,3,,,,,,,,nonIC,0.096
114,115,0.033,114.778,97,136,0.376,0,0,3,,,,,,,,nonIC,0.102
115,116,0.087,83.917,63,116,0.362,0,0,3,,,,,,,,nonIC,0.166
116,117,0.051,154.929,121,224,0.845,1,0,3,,,,,,,,IC,0.127
117,118,0.036,134.6,99,179,0.17,0,1,3,,,,,,,,KT,0.107
118,119,0.051,154.0,114,224,0.421,0,0,3,,,,,,,,nonIC,0.127
119,120,0.271,113.0,81,194,1.089,1,0,3,,,,,,,,IC,0.294
120,121,0.018,138.8,108,165,-0.358,0,1,3,,,,,,,,KT,0.076
121,122,0.047,82.692,66,112,0.74,0,0,3,,,,,,,,nonIC,0.122
122,123,0.025,211.143,172,261,0.302,0,0,3,,,,,,,,nonIC,0.089
123,124,0.047,145.0,123,192,1.12,1,0,3,,,,,,,,IC,0.122
124,125,0.029,117.125,98,147,0.47,0,1,3,,,,,,,,KT,0.096
125,126,0.029,102.625,83,121,-0.122,0,0,3,,,,,,,,nonIC,0.096
126,127,0.069,148.211,111,231,1.005,1,0,3,,,,,,,,IC,0.148
127,128,0.058,109.688,92,147,0.606,1,0,3,,,,,,,,IC,0.136
128,129,0.036,106.3,74,162,0.677,0,0,3,,,,,,,,nonIC,0.107
129,130,0.029,95.625,72,118,-0.077,0,0,3,,,,,,,,nonIC,0.096
130,131,0.04,132.182,101,172,0.363,0,0,3,,,,,,,,nonIC,0.113
131,132,0.061,81.647,62,111,0.518,0,0,3,,,,,,,,nonIC,0.139
132,133,0.025,131.714,119,153,0.806,0,0,3,,,,,,,,nonIC,0.089
133,134,0.029,143.625,123,161,0.192,1,0,3,,,,,,,,IC,0.096
134,135,0.083,118.13,78,161,0.127,0,1,3,,,,,,,,KT,0.163
135,136,0.022,112.833,99,141,0.777,0,1,3,,,,,,,,KT,0.084
136,137,0.076,205.381,164,278,0.809,1,0,3,,,,,,,,IC,0.156
137,138,0.025,174.857,146,210,0.187,1,0,3,,,,,,,,IC,0.089
138,139,0.105,158.379,108,265,0.813,1,0,3,,,,,,,,IC,0.183
139,140,0.058,157.062,97,271,0.652,1,0,3,,,,,,,,IC,0.136
140,141,0.061,129.471,69,245,0.949,0,1,3,,,,,,,,KT,0.139
141,142,0.08,175.045,139,239,0.544,1,0,3,,,,,,,,IC,0.16
