rand_ID,cpc,cohesin,e,time,chr_length,distances
3,0.12,0.09,0.0089,0.016670,4.389490,[0.808314222895068 2.01356543505754 1.84393686845944 0.69463414663709] 
3,0.12,0.09,0.0089,0.005531,1.623510,[0.507858012686844 0.838558410618533 0.928944348810556] 
3,0.12,0.09,0.0089,0.006358,2.465330,[0.446860233973089 0.254847310414479 0.412301701337683 0.507858012686844 0.838558410618533 0.928944348810556 0.123473319236223 0.79151920041266] 
3,0.12,0.09,0.0089,0.002319,2.645720,[0.951312540250464 0.507858012686844 0.329141808952069 0.509416601666465 0.439330577542349 0.489613771268207 0.49097746443578 0.424015055213103] 
3,0.12,0.09,0.0089,0.027405,2.826110,[] 
3,0.12,0.09,0.0089,0.021193,3.186890,1.84393686845944 
3,0.12,0.09,0.0089,0.016727,3.667930,[0.808314222895068 2.01356543505754 1.84393686845944 0.69463414663709] 
3,0.12,0.09,0.0089,0.009398,2.224810,[1.17500702443901 0.838558410618533 0.928944348810556 0.914992519648882] 
3,0.12,0.09,0.0089,0.004984,2.765980,[0.446860233973089 0.254847310414479 0.412301701337683 0.507858012686844 0.838558410618533 0.928944348810556 0.123473319236223 0.79151920041266 0.69463414663709] 
14,0.15,0.09,0.0089,0.018674,2.705850,[1.20809944983666 2.54311197188264] 
14,0.15,0.09,0.0089,0.029636,1.262730,[] 
14,0.15,0.09,0.0089,0.005112,4.389490,[0.46805548746264 0.282622440644281 0.4668653431994 0.403429972141728 0.377359063687702 0.269888981605698 0.560851404543264 0.636022861586689 0.521538641735326 0.34520916600447 0.426456281769784 0.145816043332685 0.468068977453691 0.419165807758485] 
14,0.15,0.09,0.0089,0.007732,1.623510,[0.6472480452934 0.560851404543264 0.636022861586689 0.521538641735326 0.34520916600447] 
14,0.15,0.09,0.0089,0.011900,2.465330,[1.20809944983666 0.636022861586689 0.521538641735326] 
14,0.15,0.09,0.0089,0.002219,2.645720,[1.61152942197839 0.636022861586689] 
14,0.15,0.09,0.0089,0.020515,2.826110,[1.62097324344805 1.20809944983666 2.54311197188264] 
14,0.15,0.09,0.0089,0.012067,3.186890,[1.62097324344805 1.20809944983666 0.636022861586689 0.521538641735326 1.38555046856063] 
14,0.15,0.09,0.0089,0.029472,3.667930,[2.82907269328471 2.54311197188264] 
14,0.15,0.09,0.0089,0.012059,2.224810,[1.20809944983666 0.636022861586689 0.521538641735326] 
14,0.15,0.09,0.0089,0.018610,2.765980,[1.20809944983666 2.54311197188264] 
4,0.15,0.09,0.0089,0.004631,2.705850,[0.425315789465359 0.339331503543125 0.479537209968446 0.438107982898707 0.537470410959817 0.571663241948413 0.552257972175079 0.410529983173503 0.393352760242256 0.658792784203568] 
4,0.15,0.09,0.0089,0.011440,1.262730,0.975578393858524 
4,0.15,0.09,0.0089,0.004832,4.389490,[0.295866741015018 0.517136513305019 0.425315789465359 0.339331503543125 0.479537209968446 0.438107982898707 0.537470410959817 0.571663241948413 0.552257972175079 0.410529983173503 0.393352760242256 0.658792784203568 0.434023414688633] 
4,0.15,0.09,0.0089,0.022739,1.623510,[] 
4,0.15,0.09,0.0089,0.026128,2.465330,[] 
4,0.15,0.09,0.0089,0.010519,2.645720,[0.764647293008484 0.479537209968446 0.975578393858524 1.53445119729699 0.393352760242256 0.658792784203568] 
4,0.15,0.09,0.0089,0.020560,2.826110,[2.21976289683545 1.92780395753925] 
4,0.15,0.09,0.0089,0.008821,3.186890,[0.517136513305019 0.764647293008484 0.479537209968446 0.975578393858524 0.571663241948413 0.962787955348582 0.393352760242256 0.658792784203568 0.434023414688633] 
4,0.15,0.09,0.0089,0.015912,3.667930,[2.21976289683545 1.92780395753925 0.658792784203568] 
4,0.15,0.09,0.0089,0.024960,2.224810,2.21976289683545 
4,0.15,0.09,0.0089,0.017915,2.765980,[2.21976289683545 1.92780395753925] 
15,0.173,0.09,0.0089,0.010059,2.705850,[0.592584186367106 0.890829437829126 1.12800331252216 0.696694822223401 0.535241160912862 0.509131646873777 0.480119305563893] 
15,0.173,0.09,0.0089,0.008975,1.262730,[1.12800331252216 0.696694822223401 0.535241160912862] 
15,0.173,0.09,0.0089,0.013576,4.389490,[0.592584186367106 0.890829437829126 1.12800331252216 1.23193598313626 0.509131646873777 0.480119305563893 0.728754014422128] 
15,0.173,0.09,0.0089,0.012677,1.623510,[1.12800331252216 0.696694822223401 0.535241160912862] 
15,0.173,0.09,0.0089,0.010785,2.465330,[0.890829437829126 1.12800331252216 0.696694822223401 0.535241160912862 0.509131646873777 0.480119305563893] 
15,0.173,0.09,0.0089,0.016745,2.645720,[0.592584186367106 0.890829437829126 1.12800331252216 1.74106763001004 0.480119305563893] 
15,0.173,0.09,0.0089,0.022269,2.826110,2.6114169367184 
15,0.173,0.09,0.0089,0.012724,3.186890,[0.592584186367106 0.890829437829126 1.12800331252216 0.696694822223401 0.535241160912862 0.509131646873777 0.480119305563893 0.728754014422128] 
