CPC(um),cohesin(um),eps,alpha,norm_counts,counts,final_eq_radius (unitless)
0.173,0.11,0.0075,0,[0.804061470911087;0.195389681668496;0.000548847420417124],[145;1465;356;1],8.842083e-02
0.1,0.06,0.0075,0,[0.726840855106888;0.0344418052256532;0.0130641330166271;0.0926365795724466;0.0344418052256532;0.0570071258907363;0.0332541567695962;0.00712589073634204;0.00118764845605701],[1125;612;29;11;78;29;48;28;6;1],1.078932e-03
0.1,0.07,0.0075,0,[0.445945945945946;0.0929054054054054;0.238175675675676;0.0236486486486486;0.197635135135135;0.00168918918918919],[1375;264;55;141;14;117;1],7.702889e-02
0.1,0.08,0.0075,0,[0.105825242718447;0.26504854368932;0.0699029126213592;0.367961165048544;0.0466019417475728;0.14368932038835;0.000970873786407767],[937;109;273;72;379;48;148;1],8.050018e-02
0.1,0.09,0.0075,0,[0.0239064089521872;0.336215666327569;0.017293997965412;0.348931841302136;0.155137334689725;0.117497456765005;0.000508646998982706;0.000508646998982706],[1;47;661;34;686;305;231;1;1],8.124486e-02
0.1,0.11,0.0075,0,[0.777292576419214;0.222161572052402;0.000545851528384279],[135;1424;407;1],8.842083e-02
0.22,0.06,0.0075,0,[0.675675675675676;0.0497866287339972;0.0042674253200569;0.110953058321479;0.0526315789473684;0.096728307254623;0.0085348506401138;0.00142247510668563],[1264;475;35;3;78;37;68;6;1],1.078933e-03
0.22,0.07,0.0075,0,[0.702441505595117;0.141912512716175;0.0198372329603255;0.0707019328585961;0.0615462868769074;0.00305188199389624;0.000508646998982706],[1;1381;279;39;139;121;6;1],7.702889e-02
0.22,0.08,0.0075,0,[0.481632653061224;0.0596938775510204;0.160204081632653;0.0448979591836735;0.177551020408163;0.0755102040816327;0.000510204081632653],[7;944;117;314;88;348;148;1],8.050018e-02
0.22,0.09,0.0075,0,[0.0457818930041152;0.325102880658436;0.233024691358025;0.180041152263374;0.215020576131687;0.00051440329218107;0.00051440329218107],[23;89;632;453;350;418;1;1],8.124486e-02
0.22,0.11,0.0075,0,[0.862011173184357;0.137430167597765;0.000558659217877095],[177;1543;246;1],8.842083e-02
0.25,0.06,0.0075,0,[0.660714285714286;0.0520833333333333;0.00595238095238095;0.111607142857143;0.0595238095238095;0.105654761904762;0.00297619047619048;0.00148809523809524],[1295;444;35;4;75;40;71;2;1],1.078932e-03
0.25,0.07,0.0075,0,[0.699691991786448;0.148870636550308;0.0143737166324435;0.0713552361396304;0.0651950718685832;0.000513347022587269],[19;1363;290;28;139;127;1],7.702889e-02
0.25,0.08,0.0075,0,[0.483163265306122;0.0551020408163265;0.15969387755102;0.061734693877551;0.164285714285714;0.0755102040816327;0.000510204081632653],[7;947;108;313;121;322;148;1],8.050018e-02
0.25,0.09,0.0075,0,[0.0447991761071061;0.326467559217302;0.254891864057673;0.157054582904222;0.215756951596292;0.000514933058702369;0.000514933058702369],[25;87;634;495;305;419;1;1],8.124486e-02
0.25,0.11,0.0075,0,[0.907553551296505;0.0918827508455468;0.00056369785794814],[193;1610;163;1],8.842083e-02
0.2,0.06,0.0075,0,[0.685082872928177;0.0483425414364641;0.00414364640883978;0.107734806629834;0.0497237569060773;0.0939226519337017;0.00966850828729282;0.00138121546961326],[1243;496;35;3;78;36;68;7;1],1.078932e-03
0.2,0.07,0.0075,0,[0.702441505595117;0.138351983723296;0.0239064089521872;0.0696846388606307;0.0579857578840285;0.00712105798575788;0.000508646998982706],[1;1381;272;47;137;114;14;1],7.702889e-02
0.2,0.08,0.0075,0,[0.481122448979592;0.0591836734693878;0.164285714285714;0.0326530612244898;0.182142857142857;0.0801020408163265;0.000510204081632653],[7;943;116;322;64;357;157;1],8.050018e-02
0.2,0.09,0.0075,0,[0.0462724935732648;0.324935732647815;0.218508997429306;0.194344473007712;0.214910025706941;0.00051413881748072;0.00051413881748072],[22;90;632;425;378;418;1;1],8.124486e-02
0.2,0.11,0.0075,0,[0.838423098278734;0.161021654636313;0.000555247084952804],[166;1510;290;1],8.842083e-02
0.35,0.06,0.0075,0,[0.593189964157706;0.0663082437275986;0.0519713261648745;0.0931899641577061;0.0770609318996416;0.116487455197133;0.0017921146953405],[1409;331;37;29;52;43;65;1],1.078932e-03
0.35,0.07,0.0075,0,[0.646385542168675;0.187349397590361;0.0192771084337349;0.072289156626506;0.0740963855421687;0.000602409638554217],[307;1073;311;32;120;123;1],7.702889e-02
0.35,0.08,0.0075,0,[0.495412844036697;0.0443425076452599;0.13710499490316;0.1289500509684;0.118246687054027;0.0754332313965341;0.000509683995922528],[5;972;87;269;253;232;148;1],8.050018e-02
0.35,0.09,0.0075,0,[0.0521205927439959;0.329586101175268;0.338783852835973;0.0587634133878385;0.219724067450179;0.000510986203372509;0.000510986203372509],[10;102;645;663;115;430;1;1],8.124486e-02
0.35,0.11,0.0075,0,[0.999370673379484;0.000629326620516048],[378;1588;1],8.842083e-02
0.3,0.06,0.0075,0,[0.632686084142395;0.0614886731391586;0.0242718446601942;0.103559870550162;0.0711974110032362;0.105177993527508;0.00161812297734628],[1349;391;38;15;64;44;65;1],1.078933e-03
0.3,0.07,0.0075,0,[0.678256070640177;0.169977924944812;0.00441501103752759;0.0789183222958057;0.0678807947019868;0.000551876379690949],[155;1229;308;8;143;123;1],7.702889e-02
0.3,0.08,0.0075,0,[0.487742594484168;0.0495403472931563;0.150153217568948;0.093973442288049;0.142492339121553;0.0755873340143003;0.000510725229826353],[9;955;97;294;184;279;148;1],8.050018e-02
0.3,0.09,0.0075,0,[0.0433212996389892;0.329035585353275;0.293450232078391;0.115523465703971;0.21763795771016;0.000515729757607014;0.000515729757607014],[28;84;638;569;224;422;1;1],8.124486e-02
0.3,0.11,0.0075,0,[0.993742889647326;0.00568828213879408;0.000568828213879408],[209;1747;10;1],8.842083e-02
